Local Time,Real Energy Into the Load
2025-Aug-01 00:00:00.000,3853124
2025-Aug-01 00:15:00.000,3853154
2025-Aug-01 00:30:00.000,3853184
2025-Aug-01 00:45:00.000,3853215
2025-Aug-01 01:00:00.000,3853247
2025-Aug-01 01:15:00.000,3853278
2025-Aug-01 01:30:00.000,3853309
2025-Aug-01 01:45:00.000,3853339
2025-Aug-01 02:00:00.000,3853369
2025-Aug-01 02:15:00.000,3853399
2025-Aug-01 02:30:00.000,3853431
2025-Aug-01 02:45:00.000,3853462
2025-Aug-01 03:00:00.000,3853482
2025-Aug-01 03:15:00.000,3853512
2025-Aug-01 03:30:00.000,3853542
2025-Aug-01 03:45:00.000,3853573
2025-Aug-01 04:00:00.000,3853603
2025-Aug-01 04:15:00.000,3853632
2025-Aug-01 04:30:00.000,3853663
2025-Aug-01 04:45:00.000,3853696
2025-Aug-01 05:00:00.000,3853729
2025-Aug-01 05:15:00.000,3853763
2025-Aug-01 05:30:00.000,3853797
2025-Aug-01 05:45:00.000,3853830
2025-Aug-01 06:00:00.000,3853862
2025-Aug-01 06:15:00.000,3853896
2025-Aug-01 06:30:00.000,3853932
2025-Aug-01 06:45:00.000,3853968
2025-Aug-01 07:00:00.000,3854003
2025-Aug-01 07:15:00.000,3854038
2025-Aug-01 07:30:00.000,3854075
2025-Aug-01 07:45:00.000,3854111
2025-Aug-01 08:00:00.000,3854148
2025-Aug-01 08:15:00.000,3854184
2025-Aug-01 08:30:00.000,3854221
2025-Aug-01 08:45:00.000,3854258
2025-Aug-01 09:00:00.000,3854296
2025-Aug-01 09:15:00.000,3854334
2025-Aug-01 09:30:00.000,3854371
2025-Aug-01 09:45:00.000,3854408
2025-Aug-01 10:00:00.000,3854446
2025-Aug-01 10:15:00.000,3854484
2025-Aug-01 10:30:00.000,3854508
2025-Aug-01 10:45:00.000,3854546
2025-Aug-01 11:00:00.000,3854585
2025-Aug-01 11:15:00.000,3854624
2025-Aug-01 11:30:00.000,3854663
2025-Aug-01 11:45:00.000,3854704
2025-Aug-01 12:00:00.000,3854744
2025-Aug-01 12:15:00.000,3854785
2025-Aug-01 12:30:00.000,3854825
2025-Aug-01 12:45:00.000,3854865
2025-Aug-01 13:00:00.000,3854903
2025-Aug-01 13:15:00.000,3854940
2025-Aug-01 13:30:00.000,3854976
2025-Aug-01 13:45:00.000,3855011
2025-Aug-01 14:00:00.000,3855045
2025-Aug-01 14:15:00.000,3855080
2025-Aug-01 14:30:00.000,3855117
2025-Aug-01 14:45:00.000,3855152
2025-Aug-01 15:00:00.000,3855187
2025-Aug-01 15:15:00.000,3855223
2025-Aug-01 15:30:00.000,3855257
2025-Aug-01 15:45:00.000,3855291
2025-Aug-01 16:00:00.000,3855327
2025-Aug-01 16:15:00.000,3855362
2025-Aug-01 16:30:00.000,3855399
2025-Aug-01 16:45:00.000,3855440
2025-Aug-01 17:00:00.000,3855481
2025-Aug-01 17:15:00.000,3855522
2025-Aug-01 17:30:00.000,3855562
2025-Aug-01 17:45:00.000,3855601
2025-Aug-01 18:00:00.000,3855638
2025-Aug-01 18:15:00.000,3855673
2025-Aug-01 18:30:00.000,3855708
2025-Aug-01 18:45:00.000,3855743
2025-Aug-01 19:00:00.000,3855777
2025-Aug-01 19:15:00.000,3855810
